"","classifier","n.features","macro.f","micro.f","macro.a","micro.a","pf.mean","pf.sd"
"1","SVM",24,44.5,75,97.7,97.7,88.2,0.004
"2","Random Forest",24,44.5,74.5,97.7,97.7,88.2,0.01
"3","Naive Bayes",24,42.4,69.7,97.2,97.2,85.9,0.009
"4","SVM (linear kernel)",24,46.7,75.8,97.8,97.8,88.9,0.007
"5","SVM (linear kernel, cost 0.5)",24,46,75.5,97.7,97.7,88.7,0.006
"6","SVM (linear kernel, cost 0.1)",24,46.1,75.6,97.8,97.8,88.8,0.008
"7","RF (mtry = 4)",24,43.9,74.4,97.6,97.6,88.2,0.008
"8","RF (mtry = 6)",24,45.4,74.6,97.7,97.7,88.3,0.008
